Node1,Node1Property_GroupLabel,Node2,Node2Property_GroupLabel,EdgeProperty_Correlation,EdgeProperty_Arrow_Direction,EdgeProperty_PaperID,EdgeProperty_SampleSize,EdgeProperty_SampleYears,EdgeProperty_SampleCountries,EdgeProperty_SampleIndustries
Overtime,hedonic well-being,Marital status,causes,0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Marital status,causes,-0.05,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Marital status,causes,-0.12,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Marital status,causes,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Marital status,causes,0.06,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Marital status,causes,0.09,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Job tension,hedonic well-being,0.36,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Job sharing,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Job sharing,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Job sharing,causes,-0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Job sharing,causes,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Job sharing,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Job sharing,causes,-0.11,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Age,causes,Job security,economic well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Job security,economic well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Children,causes,Job security,economic well-being,-0.04,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Commuting time,causes,Job security,economic well-being,-0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Job security,economic well-being,-0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Education,causes,Job security,economic well-being,-0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Employer centered FWAs,causes,Job security,economic well-being,0,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Emplyee centered FWAs,causes,Job security,economic well-being,-0.15,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Job security,economic well-being,-0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Gender,causes,Job security,economic well-being,0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Informal flexible work,causes,Job security,economic well-being,-0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Job security,economic well-being,-0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Job security,economic well-being,-0.09,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Job security,economic well-being,-0.08,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Marital status,causes,Job security,economic well-being,0,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Job security,economic well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Job security,economic well-being,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Job security,economic well-being,-0.05,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Second job,causes,Job security,economic well-being,1,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Job security,economic well-being,-0.18,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Job security,economic well-being,-0.06,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Job security,economic well-being,0,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Job security,economic well-being,0.06,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Informal flexible work,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Informal flexible work,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Informal flexible work,causes,0.19,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Informal flexible work,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Informal flexible work,causes,-0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Informal flexible work,causes,-0.04,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Informal flexible work,causes,0.12,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Informal flexible work,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Informal flexible work,causes,-0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Informal flexible work,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Informal flexible work,causes,-0.19,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Informal flexible work,causes,0.13,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Informal flexible work,causes,0.1,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Gender,causes,-0.06,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Gender,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Employer centered FWAs,causes,Gender,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Emplyee centered FWAs,causes,Gender,causes,-0.08,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Gender,causes,-0.06,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Informal flexible work,causes,Gender,causes,-0.1,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Gender,causes,0.06,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Gender,causes,0.04,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Gender,causes,0.05,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Gender,causes,-0.05,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Gender,causes,-0.11,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Gender,causes,0.29,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Gender,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Gender,causes,0.13,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Gender,causes,-0.08,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Gender,causes,-0.3,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Flexi-time work,causes,-0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Flexi-time work,causes,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Flexi-time work,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Flexi-time work,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
